Variety ,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,zscore
2025杨FL1,19.62587425,0.596764533,289.2545965,9.973042281,1.900219109,37.63002777,39.25987752,37.63002777,39.3309199,389.504008,361.6089579,35.04480743,46.46311315,48.95393244,64.90410868,499.7061971,1500.41036,1431.209554,99.53571574,21.60496902,0.228505492,0.832843662,0.009973042,310.7800278,312.4098775,240.0656522,-2.077419784,6.524958331,65.55393994,19.09082679,38.44495265,6.81949383,0.493141274,4.624739223,2.194754607,0.316103556,28.79116329,0.799909934,74.50667046,352.2797572,0.041508446,0.682829028
2025杨FL2,20.00596984,0.550571664,284.1399798,9.458565211,1.928046899,37.55060959,39.18648783,37.55060959,39.25758108,390.4268188,362.2895508,35.06417338,45.90040716,49.17530696,64.37244924,499.6798299,1500.3337,1345.043172,99.53739929,21.60496902,0.228505492,0.832799717,0.009458565,310.7006096,312.3364878,240.0533866,-1.812983092,6.496854056,65.27048227,19.37007511,38.36854871,6.791398006,0.461166987,4.568807157,2.222590849,0.295118259,28.28255464,0.784289758,73.67927727,352.7796709,0.041783186,0.504952193
2025杨FL3,20.04197919,0.5297669,295.5054267,7.247427548,1.554685321,33.4196256,34.75889969,33.4196256,34.82908249,401.5267537,374.2050069,27.72753906,36.1155599,49.83541234,64.91141764,499.6899312,1499.051229,204.5972697,100.1720327,25.79377937,0.296031803,0.832816552,0.007247428,306.5696256,307.9088997,239.8481913,-0.737969122,5.172454364,51.63571335,15.52015345,34.08926264,5.369671044,0.446480867,3.617769043,1.751902001,0.2855027,29.60137922,0.789688586,73.50583963,364.6780099,0.040397348,0.727614212
2025杨FL4,22.15082284,0.481582356,279.9273825,6.902123163,1.605846531,33.43200429,34.73425802,33.43200429,34.79145813,402.4677531,372.7801514,27.6482563,35.64073435,49.76076762,64.14546967,499.6792399,1500.272217,1300.623088,100.1717733,25.79377937,0.296031803,0.832798733,0.006902123,306.5820043,307.884258,240.0435493,-0.562796158,5.176042094,51.67166283,16.03092847,34.08313115,5.367836002,0.411757652,3.570195563,1.797640439,0.262826425,28.04082233,0.750918186,72.26254515,362.2507111,0.044186901,0.365660639
68FL1,16.87018055,0.460538419,287.6601577,9.073742393,2.150507732,38.0926679,39.58665212,38.0926679,39.65081533,390.3955078,366.1454163,35.21513875,45.61514282,48.33644231,62.6115303,499.6060994,1499.911255,1536.499105,99.53439331,21.60496902,0.228505492,0.832676832,0.009073742,311.2426679,312.7366521,239.9857954,-1.635432696,6.6907833,67.22081762,21.60567479,38.83966001,6.96625035,0.396277062,4.540275568,2.425974782,0.252742722,28.63207929,0.785644577,70.68984063,358.1261404,0.033299715,-0.092208661
68FL2,17.2091617,0.387624671,274.1362002,8.294520676,2.284418019,38.2265536,39.67314529,38.2265536,39.74989319,390.0203552,365.7069499,35.24288686,44.75955836,48.1500206,61.15201823,499.5398661,1499.136719,1572.934204,99.53250885,21.60496902,0.228505492,0.832566444,0.008294521,311.3765536,312.8231453,239.8618696,-1.243943202,6.739449155,67.71103465,22.95147629,38.94984945,7.007705854,0.341071876,4.455031137,2.552674717,0.216914739,27.28546375,0.749606222,68.39737867,357.5265386,0.032922343,-0.096632986
68FL3,16.4010402,0.300197386,271.2686679,6.18687793,2.179609711,34.90550868,35.8183314,34.90550868,35.82862218,400.7906901,378.2836711,27.15799014,34.33285777,46.03716405,58.1997261,499.6157328,1499.475057,697.2036336,100.1743876,26.17510986,0.269793123,0.832692888,0.006186878,308.0555087,308.9683314,239.9160038,-0.249748374,5.618882729,56.0910115,21.75815374,35.36192004,5.762566382,0.271496695,3.439273018,2.323293364,0.172049963,27.17417302,0.717103871,63.25616613,370.487402,0.028002719,-1.11474766
68FL4,17.21606327,0.391715716,286.9657055,7.344474494,2.03978123,34.80470022,35.704717,34.80470022,35.70692698,400.7221375,376.7234294,26.90903282,35.41707484,45.90022659,60.41286341,499.5993551,1498.476563,1443.870443,100.1717122,26.17510986,0.269793123,0.832665592,0.007344474,307.9547002,308.854717,239.7562446,-0.850249694,5.587570262,55.77992167,20.36284683,35.25470861,5.728531174,0.34423519,3.547789032,2.180742142,0.218962224,28.74584611,0.761741075,66.38639841,368.5397374,0.031011928,-1.346583638
81FL1,15.45106672,0.541902358,306.9996704,8.619864131,1.78814115,36.15179189,37.51211675,36.15179189,37.5774409,392.4828593,370.0982056,32.59706752,42.5079155,50.04037476,65.25470225,499.6618144,1499.190877,1331.389079,99.52590434,22.57319069,0.181974769,0.832769691,0.008619864,309.3017919,310.6621168,239.870535,-1.432314676,6.01877988,60.4745058,17.96659031,36.83195432,6.24727771,0.455069395,4.23063873,2.01663898,0.291124148,30.55441981,0.829508712,73.69673524,362.7535084,0.031390251,0.492981331
81FL2,19.33528099,0.510691923,287.6428349,8.10673497,1.768471965,36.05690384,37.44422404,36.05690384,37.50930278,393.9402669,367.1445719,33.06641134,42.38968786,50.95040639,65.31618754,499.5942383,1499.32605,1100.522013,99.52927653,22.57319069,0.181974769,0.832657064,0.008106735,309.2069038,310.594224,239.8921626,-1.1644151,5.987486927,60.15804731,17.76835946,36.75056394,6.219544161,0.43285424,4.219014962,2.000529199,0.27659401,28.62888322,0.783459312,73.61256395,357.9535054,0.039762688,0.234572524
