Samples,Cond,Ci,VpdL,RH_S,PARo,H20diff,CndTotal,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,AHs/Cs,Zscore
68FL1,0.460538419,287.6601577,2.150507732,62.6115303,1536.499105,21.60567479,0.396277062,2.425974782,0.252742722,28.63207929,0.785644577,70.68984063,0.033299715,-0.092208661
68FL2,0.387624671,274.1362002,2.284418019,61.15201823,1572.934204,22.95147629,0.341071876,2.552674717,0.216914739,27.28546375,0.749606222,68.39737867,0.032922343,-0.096632986
68FL3,0.300197386,271.2686679,2.179609711,58.1997261,697.2036336,21.75815374,0.271496695,2.323293364,0.172049963,27.17417302,0.717103871,63.25616613,0.028002719,-1.11474766
68FL4,0.391715716,286.9657055,2.03978123,60.41286341,1443.870443,20.36284683,0.34423519,2.180742142,0.218962224,28.74584611,0.761741075,66.38639841,0.031011928,-1.346583638
81FL1,0.541902358,306.9996704,1.78814115,65.25470225,1331.389079,17.96659031,0.455069395,2.01663898,0.291124148,30.55441981,0.829508712,73.69673524,0.031390251,0.492981331
81FL2,0.510691923,287.6428349,1.768471965,65.31618754,1100.522013,17.76835946,0.43285424,2.000529199,0.27659401,28.62888322,0.783459312,73.61256395,0.039762688,0.234572524
81FL3,0.452114251,298.6139484,1.53909633,63.66916275,1295.416748,15.36234487,0.390023825,1.691090179,0.248674133,29.91702348,0.796607248,71.04433542,0.032647532,1.092177421
81FL4,0.418314836,295.5318302,1.599646946,62.96234258,1340.120361,15.96634945,0.364609725,1.743948438,0.232165755,29.60893422,0.788140262,69.83978351,0.031214153,1.050377308
895FL1,0.539821866,287.8533812,1.933952377,63.45629374,1335.802246,19.43145624,0.453601639,2.158906586,0.290163082,28.64915141,0.783007047,71.84997393,0.040335322,0.458236424
895FL2,0.523958614,289.3239107,1.843444052,64.70140839,1369.453654,18.52188503,0.442348145,2.061407673,0.282799504,28.79579703,0.7896915,72.810743,0.038626906,-1.338046013
895FL3,0.5304095,289.2488807,1.489236568,65.51658885,759.8827108,14.86580038,0.446937287,1.619433294,0.285801308,28.97657707,0.78690038,72.85716779,0.040929066,0.873606217
895FL4,0.410095341,300.5026494,1.566446776,63.25262197,1196.950643,15.63596033,0.358349717,1.708339635,0.22810603,30.10505247,0.80133305,70.04042131,0.028604388,-0.903576526
DD102-4FL1,0.412377587,293.3080167,2.499187573,60.15238825,1380.35083,25.11057398,0.36009075,2.806034247,0.229234883,29.19215444,0.798309116,67.82565695,0.025956398,-0.228639914
DD102-4FL2,0.405740454,289.399913,2.431566605,59.74373881,431.8898315,24.43118134,0.3550174,2.793187689,0.225946261,28.80315754,0.792120112,68.30318475,0.026931697,-0.478448598
DD102-4FL3,0.37618566,286.0322584,2.080819085,60.71217473,172.0257721,20.77176987,0.332183556,2.193036202,0.211165312,28.65337836,0.760543813,65.88853585,0.029745692,-0.968087735
DD102-4FL4,0.332133067,286.5980599,2.052957528,60.38152186,152.4618785,20.49409305,0.297356319,2.181058542,0.188687755,28.7094258,0.758476903,65.46987579,0.026666615,-0.96249393
FLEVOFL1,0.514230097,283.111128,1.62849949,67.15700277,1247.92981,16.36160671,0.435393491,1.850968949,0.278253148,28.17854846,0.776678847,75.30510639,0.042903925,0.205620947
FLEVOFL2,0.552929063,279.737812,1.5840714,67.76690674,1454.418945,15.91608078,0.462820135,1.810854359,0.29620152,27.84131808,0.77115216,76.25008319,0.047828319,0.26522639
FLEVOFL3,0.581689317,282.1382001,1.509537418,64.92874654,1180.019328,15.06746564,0.482801544,1.675541499,0.309309764,28.26607874,0.774570832,73.46961712,0.047708621,-0.925598457
FLEVOFL4,0.499696196,274.7116552,1.616432568,63.56653341,1311.390625,16.13486273,0.424928998,1.774609913,0.271418452,27.52132913,0.757106365,71.28718695,0.043755308,-0.141585207
I-214FL1,0.259803853,262.6992577,2.702975464,57.94377391,355.1997477,27.16065093,0.238027652,2.991914438,0.150581604,26.14332216,0.716094908,63.629692,0.023867914,-0.373411633
I-214FL2,0.398332593,261.3813036,2.357352289,61.08926264,387.0760193,23.68801349,0.349332012,2.687743556,0.222262813,26.01179764,0.726213958,69.10602981,0.03775673,-0.500272694
I-214FL3,0.415364134,284.3276711,1.97037602,63.2964592,60.62766012,19.67036997,0.362365287,2.079602746,0.230709963,28.48103146,0.764666252,68.60250066,0.033475129,-2.076711598
I-214FL4,0.507457879,289.565709,1.865893504,64.68713888,129.9025116,18.62713234,0.430528274,1.993526084,0.275074638,29.00600936,0.78355292,71.1063865,0.037930873,-1.124422841
I-45-511,0.521038638,287.3439617,2.255633763,62.03909047,443.8259176,22.66387311,0.440264677,2.610296932,0.281437191,28.59805731,0.795808991,71.53836056,0.035089693,-0.379141
I-45-512,0.435789122,263.3438925,2.365169345,60.69448853,1400.86381,23.76425003,0.377812377,2.716858964,0.240736628,26.20965969,0.736105809,69.39961776,0.039368639,-0.069163266
I-45-51FL3,0.443155302,278.4799176,1.901930175,63.24670919,129.5427907,18.98686803,0.383335465,2.02343773,0.244325586,27.89556237,0.750572168,69.17560386,0.03852683,-1.096765064
I-45-51FL4,0.434768864,280.9402724,1.925677886,63.49897639,154.7197571,19.2239821,0.377047073,2.034963489,0.240239352,28.14195663,0.756110268,69.03808955,0.036747247,-1.265541004
I-63FL1,0.616661043,300.3561012,1.539272886,68.7666448,254.1792704,15.46590017,0.506649055,1.759505435,0.324989988,29.89350742,0.819482454,77.4489221,0.040601447,0.688204429
I-63FL2,0.698003354,310.9168977,1.462035776,69.54503632,879.7209676,14.69016837,0.560294915,1.697667645,0.360405513,30.94393595,0.845994289,79.0034213,0.038386377,0.097514716
I-63FL3,0.545129744,303.4739056,1.597851514,63.7983729,1151.031331,15.94996864,0.457342719,1.772850472,0.292612976,30.40170496,0.814587141,72.22528762,0.034980204,0.234155384
